Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
23/11/74;0.391
24/11/74;0.352
25/11/74;0.352
26/11/74;0.352
27/11/74;0.352
28/11/74;0.352
29/11/74;0.352
30/11/74;0.352
01/12/74;0.234
02/12/74;0.214
03/12/74;0.234
04/12/74;0.234
05/12/74;0.234
06/12/74;0.234
07/12/74;0.234
08/12/74;0.234
09/12/74;0.234
10/12/74;0.234
11/12/74;0.234
12/12/74;0.234
13/12/74;0.234
14/12/74;0.234
15/12/74;0.255
16/12/74;0.314
17/12/74;0.352
18/12/74;0.314
19/12/74;0.314
20/12/74;0.314
21/12/74;0.352
22/12/74;0.352
23/12/74;0.352
24/12/74;0.352
25/12/74;0.612
26/12/74;0.545
27/12/74;0.468
28/12/74;0.391
29/12/74;0.847
30/12/74;0.786
31/12/74;0.828
01/01/75;0.786
02/01/75;0.744
03/01/75;0.66
04/01/75;0.622
05/01/75;0.583
06/01/75;0.583
07/01/75;0.545
08/01/75;0.506
09/01/75;0.429
10/01/75;0.391
11/01/75;0.391
12/01/75;0.352
13/01/75;0.352
14/01/75;0.314
15/01/75;0.314
16/01/75;0.314
17/01/75;0.314
18/01/75;0.314
19/01/75;0.314
20/01/75;0.314
21/01/75;0.314
22/01/75;0.314
23/01/75;0.314
24/01/75;0.314
25/01/75;0.255
26/01/75;0.255
27/01/75;0.133
28/01/75;0.133
29/01/75;0.153
30/01/75;0.133
31/01/75;0.153
01/02/75;0.174
02/02/75;0.214
03/02/75;0.214
04/02/75;0.194
05/02/75;0.174
06/02/75;0.174
07/02/75;0.133
08/02/75;0.133
09/02/75;0.133
10/02/75;0.133
11/02/75;0.133
12/02/75;0.133
13/02/75;0.153
14/02/75;0.133
15/02/75;0.133
16/02/75;0.133
17/02/75;0.133
18/02/75;0.174
19/02/75;0.153
20/02/75;0.174
21/02/75;0.153
22/02/75;0.153
23/02/75;0.153
24/02/75;0.153
25/02/75;0.153
26/02/75;0.153
27/02/75;0.153
28/02/75;0.174
01/03/75;0.174
02/03/75;0.174
03/03/75;0.194
04/03/75;0.194
05/03/75;0.194
06/03/75;0.194
07/03/75;0.194
08/03/75;0.194
09/03/75;0.174
10/03/75;0.174
11/03/75;0.174
12/03/75;0.174
13/03/75;0.174
14/03/75;0.174
15/03/75;0.174
16/03/75;0.174
17/03/75;0.174
18/03/75;0.174
19/03/75;0.174
20/03/75;0.174
21/03/75;0.174
22/03/75;0.174
23/03/75;0.174
24/03/75;0.234
25/03/75;0.336
26/03/75;0.391
27/03/75;0.314
28/03/75;0.255
29/03/75;0.214
30/03/75;0.174
31/03/75;0.313
01/04/75;1.08
02/04/75;0.583
03/04/75;0.275
04/04/75;0.255
05/04/75;0.194
06/04/75;0.174
07/04/75;0.174
08/04/75;0.174
09/04/75;0.174
10/04/75;0.174
11/04/75;0.174
12/04/75;0.174
13/04/75;0.174
14/04/75;0.174
15/04/75;0.174
16/04/75;0.174
17/04/75;0.174
18/04/75;0.153
19/04/75;0.153
20/04/75;0.153
21/04/75;0.153
22/04/75;0.153
23/04/75;0.153
24/04/75;0.153
25/04/75;0.113
26/04/75;0.133
27/04/75;0.133
28/04/75;0.113
29/04/75;0.113
30/04/75;0.113
01/05/75;0.092
02/05/75;0.072
03/05/75;0.092
04/05/75;0.092
05/05/75;0.092
06/05/75;1.11
07/05/75;0.85
08/05/75;0.275
09/05/75;0.188
10/05/75;0.159
11/05/75;0.159
12/05/75;0.13
13/05/75;0.13
14/05/75;0.122
15/05/75;0.122
16/05/75;0.122
17/05/75;0.122
18/05/75;0.13
19/05/75;0.13
20/05/75;0.159
21/05/75;0.122
22/05/75;0.159
23/05/75;0.159
24/05/75;0.159
25/05/75;0.159
26/05/75;0.159
27/05/75;0.13
28/05/75;0.122
29/05/75;0.122
30/05/75;0.13
31/05/75;0.122
01/06/75;0.114
02/06/75;0.106
03/06/75;0.114
04/06/75;0.114
05/06/75;0.114
06/06/75;0.122
07/06/75;0.122
08/06/75;0.122
09/06/75;0.122
10/06/75;0.122
11/06/75;0.122
12/06/75;0.114
13/06/75;0.114
14/06/75;0.114
15/06/75;0.114
16/06/75;0.114
17/06/75;0.114
18/06/75;0.114
19/06/75;0.114
20/06/75;0.106
21/06/75;0.106
22/06/75;0.106
23/06/75;0.106
24/06/75;0.106
25/06/75;0.106
26/06/75;0.106
27/06/75;0.106
28/06/75;0.106
29/06/75;0.106
30/06/75;0.106
01/07/75;0.106
02/07/75;0.114
03/07/75;0.114
04/07/75;0.122
05/07/75;0.114
06/07/75;0.114
07/07/75;0.114
08/07/75;1.82
09/07/75;0.292
10/07/75;0.265
11/07/75;0.184
12/07/75;0.13
13/07/75;0.122
14/07/75;0.122
15/07/75;0.122
16/07/75;0.122
17/07/75;0.296
18/07/75;0.184
19/07/75;0.13
20/07/75;0.122
21/07/75;0.122
22/07/75;0.114
23/07/75;0.122
24/07/75;0.114
25/07/75;0.122
26/07/75;0.122
27/07/75;0.122
28/07/75;0.106
29/07/75;0.114
30/07/75;0.114
31/07/75;0.106
01/08/75;0.114
02/08/75;0.114
03/08/75;0.114
04/08/75;0.114
05/08/75;0.114
06/08/75;0.122
07/08/75;0.114
08/08/75;0.122
09/08/75;0.114
10/08/75;0.13
11/08/75;0.204
12/08/75;3.87
13/08/75;0.248
14/08/75;0.221
15/08/75;0.167
16/08/75;0.139
17/08/75;0.139
18/08/75;0.139
19/08/75;0.194
20/08/75;0.112
21/08/75;0.112
22/08/75;0.085
23/08/75;0.085
24/08/75;0.085
25/08/75;0.112
26/08/75;0.112
27/08/75;0.112
28/08/75;0.085
29/08/75;0.112
30/08/75;0.112
31/08/75;0.139
01/09/75;0.167
02/09/75;0.112
03/09/75;0.139
04/09/75;0.112
05/09/75;0.139
06/09/75;0.112
07/09/75;0.112
08/09/75;0.085
09/09/75;0.139
10/09/75;0.139
11/09/75;0.167
12/09/75;0.139
13/09/75;0.139
14/09/75;0.112
15/09/75;0.112
16/09/75;0.112
17/09/75;0.112
18/09/75;0.112
19/09/75;0.112
20/09/75;0.085
21/09/75;0.085
22/09/75;0.085
23/09/75;0.167
24/09/75;0.112
25/09/75;0.167
26/09/75;0.167
27/09/75;0.167
28/09/75;0.167
29/09/75;0.167
30/09/75;0.194
01/10/75;0.167
02/10/75;0.167
03/10/75;0.167
04/10/75;0.167
05/10/75;0.167
06/10/75;0.167
07/10/75;0.167
08/10/75;0.194
09/10/75;0.194
10/10/75;0.194
11/10/75;0.194
12/10/75;0.167
13/10/75;0.167
14/10/75;0.167
15/10/75;0.275
16/10/75;0.248
17/10/75;0.248
18/10/75;0.221
19/10/75;0.221
20/10/75;0.221
21/10/75;0.167
22/10/75;0.303
23/10/75;0.303
24/10/75;0.303
25/10/75;0.275
26/10/75;0.275
27/10/75;0.275
28/10/75;0.275
29/10/75;0.303
30/10/75;0.303
31/10/75;0.303
01/11/75;0.275
02/11/75;0.275
03/11/75;0.275
04/11/75;0.275
05/11/75;0.303
06/11/75;0.275
07/11/75;0.275
08/11/75;0.303
09/11/75;0.248
10/11/75;0.275
11/11/75;0.275
12/11/75;0.275
13/11/75;0.275
14/11/75;0.275
15/11/75;0.275
16/11/75;0.275
17/11/75;0.275
18/11/75;0.275
19/11/75;0.275
20/11/75;0.275
21/11/75;0.275
22/11/75;0.303
23/11/75;0.411
24/11/75;0.384
25/11/75;0.357
26/11/75;0.33
27/11/75;0.303
28/11/75;0.275
29/11/75;0.275
30/11/75;0.248
01/12/75;0.248
02/12/75;0.248
03/12/75;0.248
04/12/75;0.275
05/12/75;0.275
06/12/75;0.439
07/12/75;0.411
08/12/75;0.384
09/12/75;0.439
10/12/75;0.547
11/12/75;0.547
12/12/75;0.52
13/12/75;0.493
14/12/75;0.493
15/12/75;0.466
16/12/75;0.493
17/12/75;0.547
18/12/75;0.547
19/12/75;0.493
20/12/75;0.466
21/12/75;0.439
22/12/75;0.411
23/12/75;0.466
24/12/75;0.411
25/12/75;0.411
26/12/75;0.384
27/12/75;0.384
28/12/75;0.384
29/12/75;0.384
30/12/75;0.33
31/12/75;0.33
01/01/76;0.33
02/01/76;0.33
03/01/76;0.33
04/01/76;0.411
05/01/76;0.411
06/01/76;0.411
07/01/76;0.411
08/01/76;0.411
09/01/76;0.411
10/01/76;0.411
11/01/76;0.411
12/01/76;0.384
13/01/76;0.384
14/01/76;0.384
15/01/76;0.384
16/01/76;0.384
17/01/76;0.384
18/01/76;0.384
19/01/76;0.384
20/01/76;1.47
21/01/76;2.2
22/01/76;1.56
23/01/76;1.02
24/01/76;0.981
25/01/76;0.864
26/01/76;0.825
27/01/76;0.785
28/01/76;0.707
29/01/76;0.668
30/01/76;0.629
31/01/76;0.629
01/02/76;0.547
02/02/76;0.52
03/02/76;0.493
04/02/76;0.52
05/02/76;5.63
06/02/76;5.43
07/02/76;3.1
08/02/76;1.64
09/02/76;1.2
10/02/76;1.04
11/02/76;0.875
12/02/76;0.8
13/02/76;0.763
14/02/76;0.725
15/02/76;0.763
16/02/76;2.84
17/02/76;0.875
18/02/76;0.984
19/02/76;0.875
20/02/76;0.763
21/02/76;0.725
22/02/76;0.65
23/02/76;0.65
