Sekkak-Learn;
Sekkak-Learn;
N;Q
1283;0.4
1284;0.4
1285;0.45
1286;0.45
1287;0.45
1288;0.45
1289;0.45
1290;0.45
1291;0.45
1292;0.45
1293;0.45
1294;0.45
1295;0.45
1296;0.45
1297;0.45
1298;0.53
1299;0.6
1300;0.53
1301;0.53
1302;0.55
1303;0.5333333333
1304;1.0598870056
1305;0.6647058824
1306;0.525
1307;0.5333333333
1308;0.55
1309;0.525
1310;1.4694444444
1311;1.3057142857
1312;0.9941176471
1313;0.5970588235
1314;0.6
1315;0.532
1316;0.532
1317;0.532
1318;0.532
1319;0.532
1320;0.532
1321;0.532
1322;0.532
1323;0.532
1324;0.532
1325;0.532
1326;0.532
1327;0.532
1328;0.532
1329;0.532
1330;0.532
1331;0.532
1332;0.525
1333;0.5976190476
1334;0.6
1335;0.6
1336;0.66
1337;0.6
1338;0.67
1339;0.73
1340;0.66
1341;0.66
1342;0.8
1343;0.73
1344;0.86
1345;1.55
1346;1.31
1347;1.31
1348;0.99
1349;0.99
1350;0.93
1351;0.86
1352;0.93
1353;0.86
1354;0.86
1355;0.86
1356;0.8625
1357;0.8
1358;0.8
1359;0.8
1360;0.8
1361;0.75
1362;0.7333333333
1363;0.75
1364;0.73
1365;0.75
1366;0.7333333333
1367;0.725
1368;0.73
1369;0.66
1370;0.6625
1371;0.66
1372;0.8
1373;0.8
1374;0.73
1375;0.73
1376;0.73
1377;0.73
1378;1.31
1379;1.31
1380;7.2472222222
1381;6.25
1382;6.07
1383;5.7333333333
1384;5.2
1385;4.5714285714
1386;3.5
1387;3.21
1388;3.25
1389;2.4291666667
1390;4.7125
1391;4.15
1392;3.5
1393;3.8
1394;3.5
1395;3.21
1396;3.25
1397;2.54
1398;2.325
1399;2.2
1400;1.88
1401;1.88
1402;1.8
1403;1.8
1404;1.7125
1405;1.63
1406;1.55
1407;1.55
1408;1.55
1409;1.55
1410;1.45
1411;1.39
1412;1.31
1413;1.3071428571
1414;1.30625
1415;1.3
1416;1.3083333333
1417;1.3
1418;1.3
1419;1.3
1420;1.8
1421;1.15
1422;1.8
1423;1.8
1424;1.8
1425;1.8
1426;1.8
1427;1.8
1428;1.8
1429;1.15
1430;1.15
1431;1.15
1432;1.15
1433;1.15
1434;1.15
1435;1.15
1436;1.05
1437;1.22
1438;1.05
1439;0.99
1440;0.93
1441;0.86
1442;0.8
1443;0.8
1444;0.8
1445;0.8
1446;0.8
1447;0.8
1448;0.86
1449;0.86
1450;0.93
1451;0.86
1452;1.8
1453;1.39
1454;1.15
1455;1.15
1456;1.05
1457;1.05
1458;0.86
1459;0.99
1460;0.93
1461;0.93
1462;0.86
1463;0.86
1464;0.8
1465;0.8
1466;0.8
1467;0.86
1468;0.66
1469;0.73
1470;0.73
1471;0.8
1472;0.86
1473;0.8
1474;0.66
1475;0.73
1476;0.65
1477;0.66
1478;0.675
1479;0.6666666667
1480;0.6
1481;0.53
1482;0.6
1483;0.45
1484;0.6
1485;0.6
1486;0.53
1487;0.53
1488;0.45
1489;0.45
1490;0.45
1491;0.45
1492;0.45
1493;0.475
1494;0.45
1495;0.45
1496;0.45
1497;0.45
1498;0.45
1499;0.4
1500;0.4
1501;0.4
1502;0.4
1503;0.4
1504;0.45
1505;0.4
1506;0.4
1507;0.4
1508;0.4
1509;0.4
1510;0.45
1511;0.35
1512;0.35
1513;0.35
1514;0.4
1515;1.05
1516;0.6375
1517;0.375
1518;0.2875
1519;0.29
1520;0.38
1521;0.3
1522;0.2916666667
1523;0.2875
1524;0.295
1525;0.293
1526;2
1527;0.293
1528;0.3
1529;0.3
1530;0.29
1531;0.29
1532;0.35
1533;0.4
1534;0.4
1535;0.4
1536;0.475
1537;0.4
1538;0.35
1539;0.45
1540;0.6
1541;0.65
1542;0.53
1543;0.53
1544;0.45
1545;0.45
1546;0.55
1547;0.45
1548;0.45
1549;0.45
1550;0.45
1551;0.45
1552;0.45
1553;0.53
1554;0.53
1555;0.53
1556;0.53
1557;0.45
1558;0.53
1559;0.8
1560;0.8833333333
1561;1.725
1562;1.1181818182
1563;1.95
1564;3.0428571429
1565;1.1214285714
1566;0.875
1567;0.7166666667
1568;0.725
1569;0.7
1570;0.6
1571;0.6
1572;0.725
1573;0.72
1574;0.7
1575;0.65
1576;0.53
1577;0.53
1578;0.6
1579;0.65
1580;0.65
1581;0.53
1582;0.53
1583;0.53
1584;0.55
1585;0.4
1586;0.45
1587;0.55
1588;0.55
1589;0.4
1590;0.4
1591;0.4
1592;0.55
1593;0.5625
1594;0.55
1595;0.5666666667
1596;0.45
1597;0.5666666667
1598;0.55
1599;0.55
1600;0.475
1601;0.4
1602;0.5
1603;0.4
1604;0.8
1605;1.8383116883
1606;4.9840110906
1607;7.95202781
1608;7.1039893617
1609;9.4359922179
1610;7.3160058737
1611;6.8919896641
1612;6.7859972203
1613;6.57
1614;5.41
1615;4.5590909091
1616;3.82
1617;3.2909090909
1618;2.9727272727
1619;2.45
1620;2.1444444444
1621;2.05
1622;2.0421052632
1623;3.819047619
1624;4.8777777778
1625;5.3015625
1626;5.725
1627;6.3631578947
1628;7.4225
1629;7.9519230769
1630;7.95
1631;7.7407407407
1632;7.3162790698
1633;6.3613636364
1634;4.9840909091
1635;4.666
1636;3.29
1637;2.8697916667
1638;3.9243055556
1639;4.665625
1640;5.8323529412
1641;5.4055555556
1642;4.7714285714
1643;3.6041666667
1644;3.0796875
1645;2.6592592593
1646;2.5566666667
1647;2.2444444444
1648;2.15
1649;2.04
1650;1.6333333333
1651;1.5285714286
1652;1.15
1653;0.93
1654;1.15
1655;0.93
1656;0.93
1657;0.86
1658;1.05
1659;1.3333333333
1660;1.15
1661;1.25
1662;1.25
1663;1.05
1664;1
1665;0.8
1666;0.8
1667;0.7
1668;0.7111111111
1669;0.7105263158
1670;0.71
1671;0.8
1672;0.8
1673;0.8
1674;0.8
1675;0.7090909091
1676;0.7095238095
1677;0.71
1678;0.71
1679;0.71
1680;0.7111111111
1681;0.7096153846
1682;0.8
1683;0.7111111111
1684;0.7090909091
1685;0.7090909091
1686;0.8
1687;0.53
1688;0.7
1689;0.45
1690;0.6166666667
1691;0.6
1692;0.55
1693;0.4
1694;0.4
1695;0.4
1696;0.35
1697;0.45
1698;0.4
1699;0.45
1700;0.4
1701;0.4
1702;0.28
1703;0.29
1704;0.293
1705;0.293
1706;0.35
1707;0.4
1708;0.4
1709;0.3333333333
1710;0.4
1711;0.29
1712;0.29
1713;0.29
1714;0.29
1715;0.35
1716;0.325
1717;0.325
1718;0.3333333333
1719;0.35
1720;0.29
1721;0.3285714286
1722;0.3277777778
1723;0.3277777778
1724;0.3266666667
1725;0.39375
1726;0.325
1727;0.325
1728;0.325
1729;0.325
1730;5.089973262
1731;1.25
1732;7.9519379845
1733;6.7860215054
1734;1.0700404858
1735;1.069047619
1736;0.3954545455
1737;0.3307692308
1738;8.1639896373
1739;4.9839587242
1740;3.29
1741;1.7360189573
1742;0.3956521739
1743;0.4617647059
1744;0.3964285714
1745;0.4615384615
1746;0.3941176471
1747;0.325
1748;0.3964285714
1749;0.3261904762
1750;0.3946428571
1751;0.395
1752;0.3941176471
1753;0.3954545455
1754;0.3947368421
1755;0.5285714286
1756;0.5333333333
1757;0.5285714286
1758;0.6222222222
1759;0.5285714286
1760;0.6222222222
1761;0.6166666667
1762;0.62
1763;0.62
1764;0.8
1765;0.62
1766;1.0714285714
1767;0.98
1768;0.8
1769;0.8
1770;0.71
1771;0.71
1772;0.7090909091
1773;0.6142857143
1774;0.62
1775;0.6
1776;0.625
1777;0.45
1778;0.625
1779;0.525
1780;0.53
1781;8.9060465116
1782;5.8319444444
1783;3.9239130435
1784;3.916
1785;6.99
1786;10.0200680272
1787;15.0666666667
1788;4.7282608696
1789;2.2666666667
1790;2.08
1791;2
1792;1.55
1793;1.13
1794;0.8894736842
1795;0.8208333333
1796;0.8181818182
